,en_text,fa_text,bart_translation
0,how about a librarian? they're cool.,???? ?????? ??????? ???? ???? ????,?? ??????? ????? ???? ??? ?????
1,"i'm sorry miss kamen, but i can't do that.",???? ???? ?????? ??? ?????,"??????? ???? ?????? ??? ??????? ??? ???? ????"
2,cloud microphysics. - guys.,?????????? ??? - ?????? -,???? ???????????
3,they're skating. - and someone complained?,- ???? ????? ???? ????? - ? ??? ????? ?????,????? ????? ?? ???? ? ?? ??? ????? ?????
4,can you tell me what's going on?,???? ??? ??? ?? ?????,?? ???? ??? ????? ????
5,just keep the baby instead?,??? ?? ?? ??? ??? ?????,??? ??? ?? ??? ????????
6,let's get our data.,???? ?????????? ?? ??? ????,?????? ???? ?????? ?? ??? ????
7,"it's been fun though, right?",??? ??? ????. ???,"?? ??? ???? ???? ????? ??????"
8,grapefruit!,! ???????????,???? ????
9,of course.,????,?????
10,"well, they use the earth portal.","??? ?? ?????? (= ??????) ????? ??????? ?????","???? ?? ?????? ???? ??????? ?? ????"
11,"dad, i don't wanna go.","????? ??????? ???","???? ?? ??? ????? ???"
12,and we look stupid.,? ?? ??? ??????? ???? ???????,? ?? ??? ??????? ?? ????
13,your purposes. your meanings of life. so basic.,"??? ??? ???? ??????? ???? ????","??? ???? ????? ????? ???? ???? ??????? ???"
14,"kate, this is... this is marshall riggs.","???? ????? …????? ?????? ???? ????","???? ???... ??? ?????? ???? ???"
15,whoa! hey!,"???? ??","???? ???"
16,where? - fox crest condo complex. it's really good money.,???? - «?????» ???? ?????? ?????- ????? ??? ???? ????,??? ??? ????? ?????
17,"keep going! all right, you got her?","! ???? - ???????? ??????? -","????? ???? ?????? ?? ?? ?? ??????"
18,this is a piece of chandelier. this is a crystal.,. ??? ?? ???? ?? ?????? ??? ?? ????????,"??? ?? ??? ???? ???? ?? ???????"
19,do you have anything that can help us?,???? ???? ?? ?? ??????? ?????,???? ???? ?? ?????? ?? ?? ??? ????
20,maybe you will find their spark,???? ??? ?????? ???? ??? ?? ???? ????,???? ???? ?? ?? ?? ???? ???
21,whoa!,! ???,???
22,"oh, yeah, thanks. thanks, man.","???? ???? ????? ????? ???","???? ???? ?????? ????? ???"
23,jovan talked some guy into buying the moon for him.,???? ??? ?? ???? ??? ???? ??? ????,????? ?? ??? ??? ?? ??? ?? ????? ????
24,kate!,! ???,???
25,we made it! this is going to work.,?? ???????? ????? ???? ?????,"?? ??? ??? ?? ?????? ??? ?????? ??? ???"
26,"that belong in the back of the mind,",??? ?? ????,"?? ?? ??? ??? ??????"
27,"oh, jesus.",?? ???,"???? ???? ??"
28,"come on, come on! you got to go! it's here!","! ????????? ????????! ???? ????! ?????? ????","????? ????? ?? ???? ????? ??? ????"
29,you are not all that.,????? ?? ??? ?????,?? ??? ????? ?????
30,"well, maybe,",??? ????,"??? ?????"
31,"riley, what are you talking about?","?????? ?? ?? ??? ???????","????? ?????? ?? ??? ?? ????"
32,"well, actually, that does sound kinda nice.",????? ?????? ?????,"??? ?? ????? ??? ??? ?? ??? ?? ???"
33,"i'm sorry. what was that, officer?",?????? ?? ???? ???? ?????,"??????? ??? ?? ???? ?????"
34,we show them we're a fire hawk who will do whatever it takes.,????? ???? ?????? ?? ????? ?????? ????? ?? ?????? ???? ???? ???????,????? ???? ????? ?? ?? ??????? ??? ????? ?? ?? ???? ?? ????? ????? ???
35,"turns out, there's more to this story than i thought.","????? ?????? ?? ??? ???? ?? ??? ???????? ??????????",????? ?? ?? ??? ?????? ??? ?? ???? ???? ?? ??? ?? ????
36,"well, didn't throw you off the scent.","??? ?? ?? ????? ????? ??","???? ?? ?? ?? ?? ????? ????"
37,hi. - he's okay.,????- ????-,"????? ???? ????"
38,maybe i will. - wonderful.,???? ???? - ????? -,???? ??????
39,what? -she knows better than that.,??? - ??? ??????? ?? ??? ???????? -,??? ?? ???? ?? ??? ?? ????
40,"and you lean on me, 'cause i'm gonna take you.",",? ??? ???? ??. ????? ??????","? ?? ??? ?? ?? ????? ??? ?? ?? ?? ?? ???"
41,"you know, life and all.","???????? ??????? ????? ? ??????","?? ????? ????? ? ??? ???"
42,this is the moment where i fell in love with jazz.,??? ??????? ??? ?? ?? ???? ?????? ??? ???,??? ???? ?? ??? ?? ???? ??? ???
43,remember leigh had all these plans about getting married under the arbor?,???? ???? ?? ??? ??? ???? ???? ?????? ??? ??? ??????? ???,??????? ?? ???? ??? ???? ?? ?? ?????? ?????? ??? ???? ???? ??????
44,yep. i'm aware.,"???? ??? ????","???? ??????"
45,subtitles by explosiveskull,: ????? ?? Overhaul,????? ??? ??? ???? Explosiveskull
46,no way! i am not moving!,! ?????! ?? ?? ????? ???? ????????,"????? ?????? ?? ???? ??? ???"
47,run!,! ???? ??,???? ??
48,guys...,…??????,??? ??...
49,anchors away!,! ??????? ????,???? ????
50,"remember, we agreed not to make a big deal about this.","?????? ????? ???? ??? ????? ?????? ?????","???? ????? ?? ?????? ????? ?? ?? ??? ???? ???? ???? ?????"
51,"i have, like, 400 from helping my dad around here.",?? ???? ??? ?? ???? ??? ???? ?? ???? ????,?? ???? ??? ???? ?? ??? ???? ?? ???? ?? ??? ????? ?????
52,"uh, look, my mom has her own definition of what success is,","??? ????? ?????? ????? ????? ?? ?????? ????","???? ???? ??? ????? ????? ???? ?? ???? ?????? ?????"
53,truth or dare?,????? ?? ??????,????? ?? ?????
54,how do you know? - how do i know about anything?,?? ??? ??????? ??????? ?? ???? ???? ?? ??????,?? ????? ??????? ?? ????? ?? ???? ???? ???????
55,most people.,???? ????,????? ????
56,and for what?,???? ???? ???,? ???? ???
57,let's cut these guys off.,????? ????? ?? ????,?????? ??? ??? ?? ?? ?? ??? ?????
58,"wow. nice work. - well, who is it?",????? ???? ??? ??? - ???? ?? ???? -,"???? ?????? ???? ??? ????"
59,do you find that to be true?,?? ???? ?????????,??? ?? ???? ??? ???? ????
60,"listen. - okay,",??? ??- ????-,"??? ??? ?????"
61,what is she doing?,???? ?? ??? ???????,??? ???? ??????
62,what the fuck is wrong with her?,?? ??????,?? ????? ?? ?? ???? ?????
63,"we're there! -thank you,",???? ????? - ????? -,"?? ????? ?????? ??????"
64,and i'll spare the life of the baby.,? ?? ??? ??? ???????,? ?? ??? ??? ??? ?? ?? ??? ?? ???
65,you know what that's gonna say? joe gardner!,?????? ?????? ?? ????! ?? ??????,?????? ??? ?? ?????? ???? ?? ??????
66,hey.,??,??
67,todd's gonna stay with me until he finds a place.,??? «?? ?? ??????». ?? ?????? ?? ?? ???? ???,??? ?? ????? ?? ???? ???? ??? ?? ?? ????? ???
68,"go, go, go, go, go!","! ???? ???? ???? ???? ???",??? ??? ??? ???
